Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-FRNT-3320;17;18;46;44;13;55;skyware;39387-000;"Av. Odilon Lourdes";" 375";;"FRANCISCO DUMONT";"SL 2000";;;Lider
SES-ALOA-4493;22;10;10;44;38;22;skyware;37458-000;"PRAÇA ANISIO MENDES FONSECA S/nº ";;;ALAGOA;"SL 4033";;;Lider
SES-ALOS-4494;21;08;47;43;46;38;skyware;36272-000;"RUA RIBEIRO MENDES";" 11";;"ALFREDO VASCONCELOS";"SL 4033";;;Lider
SES-ALIS-3866;20;51;44;46;23;22;skyware;37940-000;"Rua Major João Goncalves";" 155";;ALPINÓPOLIS;"SL 4033";;;Lider
SES-ANOS-3850;25;19;11;43;44;49;skyware;36220-000;"RUA EUCLIDES RIBEIRO";" 46 ";" CENTRO";"ANTÔNIO CARLOS";"SL 4033";;;Lider
SES-ANOS-3853;21;17;08;43;49;41;skyware;36220-000;"Praça Santana";"s/n  ";"  	DISTRITO DE SÃO SEBASTIÃO DE CAMPOLIDE";"ANTÔNIO CARLOS";"SL 4033";;;Lider
SES-ARXA-5556;19;33;35;46;51;24;skyware;38181-292;" BR 262- Araxá - 300 METROS DO POSTO POLICIAL ";;;ARAXÁ;"SL 4033";;;Lider
SES-BETE-5552;19;49;20;43;57;16;skyware;31515-130;" RUA das Pedrinhas";" 342 ";" São João Batista";"BELO HORIZONTE";"SL 2000";;;Vodanet
SES-BEIM-5555;19;57;50;44;09;08;skyware;32556-400;"Rua Alentejo";" 441 ";" São João ";BETIM;"SL 2000";;;Vodanet
SES-BEIM-5558;20;00;04;44;08;20;skyware;32534-730;"ALAMEDA DO CISNEY";" 107 ";" BANDEIRINHAS";BETIM;"SL 2000";;;Lider
SES-BIES-0847;21;36;33;43;45;22;skyware;36230-000;"Rua CELSO SUL FERREIRA";" 40 ";" FÁTIMA.";"BIAS FORTES";"SL 4033";;;Lider
SES-BUAO-4271;22;26;31;46;21;00;skyware;37578-000;"RUA PADRE ZEFERINO";"190 ";" centro";"BUENO BRANDÃO";"SL 2000";;;Lider
SES-BURO-0891;17;21;46;44;58;14;skyware;39280-000;"Rua Jonas Carneiro";" 307 ";" Centro";BURITIZEIRO;"SL 4033";;;Lider
SES-CAIA-4434;22;45;37;46;09;24;skyware;37650-000;"Rua: Angelo Caetano dos Santos";" n°505";;CAMANDUCAIA;"SL 2000";;;Lider
SES-CAIA-4435;22;51;29;46;01;48;skyware;37650-000;"Rua: Da Baixada s/n";;;CAMANDUCAIA;"SL 4033";;;Lider
SES-CAIA-4433;22;44;48;46;08;01;skyware;37650-000;"Av: Genésio Vargas";" n° 222";;CAMANDUCAIA;"SL 4033";;;Lider
SES-CAUI-4502;22;36;16;46;03;26;skyware;37600-000;"Olimpio Ernesto da Silva N/487 - Vila Ns Senhora Aparecida";;;CAMBUÍ;"SL 4033";;;Lider
